ID_echantillon;Masse_T_T0;Masse_T_T24;Masse_T_Tsec;Longeur_T_cm;diametre_T_1_mm;diametre_T_2_mm;Nb_ramifications;mat_mort;Gmin
01_1;7,906;7,403;3,476;14,7;8,19;6,46;11;0;6,348360496
01_2;4,4;3,987;1,896;11,4;6,53;6,97;13;0;6,968544682
01_3;4,635;3,742;1,298;12,1;5,7;6,33;6;0;9,564029917
01_4;4,812;4,32;1,948;13,2;5,9;6,61;6;0;4,154519426
01_5;7,147;6,719;2,781;16;8,93;7,13;4;0;8,349685944
01_6;3,941;3,662;1,88;7,2;8,02;7,49;2;0;11,17756319
02_1;15,466;14,419;7,593;15,16;10,02;12,52;2;5;16,30830205
02_2;3,954;3,34;0,795;16,2;5,22;5,34;2;0;7,372685161
02_3;10,782;10,27;5,199;18;7,92;8,01;1;0;31,34592761
02_4;4,72;4,261;2,035;6,7;8,99;10,29;5;0;38,90706486
02_5;15,815;14,938;5,231;15,6;11,76;12,52;3;0;28,34690237
02_6;12,13;11,601;6,025;15,4;9,72;9,6;1;0;28,2256975
03_1;17,211;15,885;9,979;7,1;17,45;17,27;20;0;7,205396118
03_2;17,809;16,537;9,821;8,8;15,77;15,32;7;0;16,71824521
03_3;14,295;13,146;7,788;13,1;11,56;11,81;8;0;12,61632182
03_4;8,719;7,936;4,685;10,2;10,64;10,66;7;0;19,85008499
03_5;21,393;20,417;12,85;8,7;17,25;17,86;8;0;19,85008499
03_6;12,04;11,179;6,92;8,3;13,27;12,82;11;0;34,60836234
04_1;4,875;4,345;2,734;4,6;10,86;10,55;5;0;80,46791821
04_2;10,241;9,448;5,484;8,2;12,43;12,15;14;0;70,03240172
04_3;28,073;26,929;16,543;13,2;14,94;15,86;12;0;84,65773811
04_4;30,505;29,454;18,295;13,8;15,12;16,99;5;0;92,75083446
04_5;8,98;8,363;5,091;6,2;13,33;12,39;16;0;64,63856294
04_6;9,333;8,648;5,361;6;13,5;13,63;19;0;64,66691553
05_1;19,455;18,173;10,165;9,9;14,06;14,77;12;0;44,08142776
05_2;21,511;19,997;11,004;14,2;13,36;12,94;8;0;16,82228944
05_3;12,215;11,375;7,093;9,1;12,19;12,63;11;0;11,59748401
05_4;7,994;7,273;4,488;7,8;11,91;11,07;8;0;24,61642658
05_5;24,521;22,831;13,794;14,5;13,78;14,87;10;0;19,78127208
05_6;38,701;35,978;22,561;17,7;17,24;16,58;10;0;14,02436905
06_1;17,058;15,946;9,056;9,1;14,8;14,75;2;0;36,79850988
06_2;48,785;46,413;24,56;22,5;14,87;15,98;9;0;15,83667533
06_3;14,368;13,312;7,48;11,3;12,87;13,01;2;0;15,89184038
06_4;26,546;25,254;13,777;11,3;17,12;17,72;2;0;20,87331118
06_5;13,113;12,083;6,66;10,5;13,06;12,29;3;0;16,91584804
06_6;19,621;18,224;9,831;12,7;12,93;12,53;2;0;31,18693198
07_1;16,973;15,9;;6,6;17,79;18,77;4;0;2,146077522
07_2;13,348;12,064;;7,7;14,04;15,61;0;0;4,508216452
07_3;23,491;22,388;;9,2;18,15;17,56;1;0;5,200070815
07_4;43,931;42,794;;17;17,52;18,78;1;0;2,733252495
07_5;11,47;10,789;;6,7;14,44;13,55;0;0;1,809490747
07_6;11,734;10,644;;5,8;16,2;14,86;0;0;3,048835858
08_1;10,493;9,652;;9,8;10,93;10,9;29;0;7,894490551
08_2;4,016;3,512;;8,2;7,45;8,13;21;0;8,98374359
08_3;16,115;15,079;;13,5;11,01;13,14;13;0;6,03411002
